Status,Severity,Title,Type,File,Description,Suggested fix
open,minor,Duplicate .wp-submenu-head rule,design,themes/modern/modern.css,"Lines 521-523 set color: var(--wp-admin-theme-text-secondary) on .wp-submenu-head; lines 515-518 earlier set the same class to color: var(--wp-admin-theme-text). The latter (more specific) wins, so the second block is dead CSS.","Remove the redundant block at 521-523, or — if the intent was to override — collapse both into a single declaration with var(--wp-admin-theme-text-secondary)."
open,minor,"RTL overrides introduce subtle asymmetry",layout,themes/modern/modern.css,"The RTL section removes border-right from #adminmenuwrap and sets border-left only, but the LTR current-arrow rule (line 511) writes border-right-color explicitly; the RTL arrow now points the wrong way on top-level current items.",Use logical properties (border-inline-end-color) or duplicate the override inside .rtl.wp-admin-theme-modern for the current arrow pseudo.
open,minor,Notice left border set in pixels regardless of LTR/RTL,layout,themes/modern/modern.css,"Lines 970-973 set border-left-width: 4px on every .notice; the RTL block flips it to border-left-width: 1px and border-right-width: 4px but uses unit-less values and only for one breakpoint — leaving RTL notices with no width when prefers-contrast: more is active.","Use border-left/border-right with logical properties (border-inline-start-width / border-inline-end-width) so both locales inherit the same widening rule."
open,minor,Posts-filter re-flow can break plugin list tables,layout,themes/modern/modern.css,"The .wrap .subsubsub override sets display: flex, gap: 24px, float: none, width: auto. Plugins (e.g. WooCommerce orders, ACF custom lists) inject their own subsubsub tables; switching from float to flex can mis-align their links and badges by a few pixels.",Scope the subsubsub rewrite under #posts-filter (where the comment says it belongs) instead of the global .wrap .subsubsub selector.
open,minor,Dashboard / welcome-panel border-radius mismatch,design,themes/modern/modern.css,"Core .welcome-panel uses border-radius: 12px; modern sets 14px (.wp-admin-theme-radius-lg) but core .postbox uses 8px. The same theme treats sibling cards inconsistently.","Either keep 8px everywhere (--wp-admin-theme-radius-lg: 8px for surface cards) or split radii into --wp-card-radius / --wp-feature-radius tokens."
open,trivial,L#wpfooter background duplicates core,design,themes/modern/modern.css,"Lines 1412-1416 set background: var(--wp-admin-theme-surface) on #wpfooter. Core 7.x already styles it the same way, so this rule only has an effect on the very first paint of the first admin page where core has not loaded yet.","Remove the rule, or restrict it to display=swap contexts where core has not yet loaded."
open,blocker,Wide main content offset breaks 7.x mobile menu open/close interactions,layout,themes/modern/modern.css,"With margin-left: 200px on #wpcontent and no rule that clears it at the 600px mobile breakpoint, opening the responsive admin menu (which slides over the content from the left) still leaves a 244px right margin and the user's screen appears blank on devices narrower than 782px.",Set margin-left: 0 at @media screen and (max-width: 782px) and pair it with a small padding-left so the menu overlay covers the entire body without leaving a dead strip.
open,blocker,Plugin header used a literal __VERSION__ placeholder,compliance,wp-admin-themes.php,"The plugin header declared Version: __VERSION__ and the runtime constant WP_ADMIN_THEMES_VERSION was set to the same placeholder string. The plugin would load and behave correctly but the wp.org SVN check would reject it and every enqueue/bust-cache query would carry a useless identical cache-buster forever.",Replace the placeholder with a real semver value (0.0.1 used here) and define WP_ADMIN_THEMES_VERSION once at the top of the file.
open,critical,Missing uninstall.php — uninstall was implemented as a static class method,compliance,wp-admin-themes.php,"The plugin registered a static WPAT_Plugin::uninstall() method instead of using uninstall.php. wordpress.org reviewers reject uninstall logic inside the plugin bootstrap class because it runs during the AJAX deletion call which is not a clean environment, and any output during the method would break the deletion. The class also kept the stale WP_Admin_Themes::uninstall() hook in the original code path.",Provide uninstall.php at the plugin root with a WP_UNINSTALL_PLUGIN guard. Have it delete_option() the plugin's options on every site (including multisite via switch_to_blog).
open,critical,Direct $_POST used without wp_unslash in form handler,compliance,wp-admin-themes.php,"The original handle_form_submit() read $_POST values via sanitize_key() / sanitize_hex_color() but did not wp_unslash() them first. While sanitize_* calls strip slashes for many cases the project guidelines expect sanitization to happen after unslashing so slashed data with embedded quotes is handled uniformly.",Use wp_unslash($_POST[...]) before passing the value to sanitize_key/sanitize_hex_color; the same is now done inside the Settings API sanitize callbacks.
open,major,Main plugin class uses a non-prefixed global-namespace name,compliance,wp-admin-themes.php,"The class WP_Admin_Themes sat in the global namespace with no prefix. wordpress.org explicitly forbids function/class/constant names that clash with core or with other plugins; WP_Admin_Themes collides with translator plugins (e.g. WP Admin Theme) and is too generic.",Rename the main class to WPAT_Plugin (matches the wp_admin_themes prefix in build.json) and update all register_*_hook callbacks to reference the new name.
open,major,Original handle_form_submit duplicated Settings API persistence,compliance,wp-admin-themes.php,"The settings page posted to a self-referencing action (action=""""), then wrote options through update_option() while also calling wp_safe_redirect() with a settings-updated query string. The Settings API (options.php) already sanitizes via register_setting() and performs its own redirect-with-settings-updated flow, so the manual path created a double-redirect race and bypassed the Settings API nonce action.",Submit the form to options.php and rely on register_setting() sanitize callbacks for both options. Remove handle_form_submit() entirely.
open,major,Settings page lacked a wp_die() guard on the capability check,compliance,wp-admin-themes.php,"render_settings_page() returned silently when the current user lacked manage_options — it returned early so an unauthenticated visitor would see an empty page. The project guidelines say permission callbacks should call wp_die() with a clear localized message.","Render guard now calls wp_die(esc_html__(...)) when the capability is missing."
open,major,Forms submitted to current URL with manual updates instead of options.php,compliance,wp-admin-themes.php,"The form's action=""""" posted to the same page; the handler then ran update_option() and redirected manually. Using the Settings API standardizes the nonce, capability checks and the settings-updated flash.",Submit to admin_url('options.php'); the form now emits settings_fields('wp_admin_themes_group') which provides the action="options.php" + WP nonce fields.
open,major,Body class missing for the Classic theme,compliance,themes/classic/wp-admin.css,"add_body_class() emitted wp-admin-theme-modern and wp-admin-theme-enhanced but never wp-admin-theme-classic; classic screens therefore could not be scoped with a single CSS hook. A faithful classic theme should be cleanly scoped so future bug fixes can target only its screens.",Add the wp-admin-theme-classic class when current_theme === 'classic' (now in add_body_class()).
open,major,Dequeue_core_styles() was applied to both Classic AND Enhanced,compliance,wp-admin-themes.php,"The original dequeue_core_styles() ran unconditionally for any non-default theme, which stripped core 7.x stylesheets even though the enhanced theme is supposed to layer on top of those core styles. That violated the Enhanced theme contract and left users with a half-styled admin.","Restrict dequeue_core_styles() to current_theme === 'classic' only; for enhanced and modern, hand off to layering overlay CSS."
open,major,wp-admin.css aggregator referenced stylesheets that were not shipped,compliance,themes/classic/wp-admin.css,"The imported classic/wp-admin.css aggregator pointed at common.css, forms.css, admin-menu.css, list-tables.css, edit.css, revisions.css, media.css, themes.css, widgets.css, nav-menus.css, about.css, site-icon.css, l10n.css, site-health.css but only 8 of those files existed under themes/classic/. The remaining @import rules produced 404 requests the browser quietly retried, and the missing styles (e.g. site-icon preview) failed silently.",Add every stylesheet (revisions.css, site-icon.css, l10n.css, plus colors/blue.css for the default color scheme) to themes/classic/ so the aggregator resolves cleanly. RTL variants live next to LTR for parity.
open,minor,Plugin URI and Author URI both point at example.com placeholders,compliance,wp-admin-themes.php,"The Plugin Header Plugin URI and Author URI both used https://example.com placeholders that do not resolve to a real project or maintainer. wordpress.org rejects submissions where authors cannot be reached.",Replace placeholders with the canonical plugin URL and author URL or move the plugin into the wp-admin-themes.com homepage.
open,minor,Missing WordPress version requirement and PHP version requirement headers,compliance,wp-admin-themes.php,"The original plugin header had no Requires at least: or Requires PHP: line. wordpress.org requires both — they power the readme.txt stable tag and surface the compatibility check inside Plugins → Add New.","Add ""Requires at least: 6.5"" (covers admin-bar markup) and ""Requires PHP: 7.4"" (the code uses typed properties, null coalescing and typed parameters)"
open,minor,Missing Domain Path in plugin header,compliance,wp-admin-themes.php,"The plugin registered a /languages folder but the header did not declare Domain Path: /languages. wordpress.org uses the header (not the directory) to load translations, so POT files were silently skipped.",Add ""Domain Path: /languages"" to the plugin header (now present).
open,minor,License declared as ''GPL v2 or later'' without a license URI,compliance,wp-admin-themes.php,"The header had License: GPL v2 or later but no License URI: line. wordpress.org requires a license URI for SPDX lookup.","Add ""License URI: https://www.gnu.org/licenses/gpl-2.0.html"" to the plugin header (now present)."
open,minor,Original main plugin file had no `defined( 'ABSPATH' ) || exit;` opening guard,compliance,wp-admin-themes.php,"The original file began with the ABSPATH guard only at the top, but did not guard each subclass/file independently. While the bootstrap file is fine, compliance reviewers look for the guard and prefer a sentinel index.php in every subdirectory that contains assets — they were present so this is now noted only for completeness.","Move the guard into uninstall.php + a guard at the top of any future includes. ABSPATH guards are already in place across index.php files."
open,minor,index.php placeholders are not anonymous (silence-is-golden comment),compliance,index.php,themes/classic/index.php,themes/modern/index.php,css/index.php,js/index.php,"Each of these files contains the single line <?php // Silence is golden. — required by WP.org review to prevent directory listing, but they should also be empty rather than commented to satisfy the static analysis rules used by the plugin-check tool.","Add the standard 1-line ABSPATH guard before the comment so each becomes <?php defined( 'ABSPATH' ) || exit; // Silence is golden."
open,minor,settings page used legacy class names not prefixed with the slug,compliance,css/settings.css,"The settings page stylesheet shipped classes named .wpat-* (good) but the JS still references legacy .wpat-settings-form which clashes with the .wpat-card class added later. Not a wp.org blocker but a friction point for plug-in renames.","Standardize the JS selectors on .wpat-* and document the CSS contract."
open,minor,Javascript uses 'use strict' and $ but not always `'noopener noreferrer'`,compliance,js/settings.js,"Several jQuery handlers set window.location.href or trigger form submit() in resetToDefaults() but never ensure that any new tab opened uses rel=""noopener noreferrer"". Not a blocker (settings page never opens new tabs) but a ticket for the reviewer.",If feature flags are added that open URLs, wrap them with an anchor helper that sets rel and target safely.
open,minor,build.json declares a duplicated SLUG block,compliance,build.json,"The free and pro blocks share the same SLUG / PREFIX / VERSION. The wp.org repo only allows one slug; bundling a pro placeholder that re-declares the same identifier is misleading.","Split the build config into build-free.json and build-pro.json if a paid tier is added; the current single-block build.json is acceptable but should drop the duplicate pro block for the wp.org submission."
open,minor,Plugin uses wp_safe_redirect() to add_query_arg() chain that doesn't reuse wp_get_referer(),compliance,wp-admin-themes.php,"The original redirect target used add_query_arg( 'settings-updated', 'true', wp_get_referer() ) which is OK, but the new code uses admin_url('options-general.php'). The new code path is correct via the Settings API.","Keep using the Settings API redirect; do not reintroduce wp_get_referer() based redirects that could leak add_query_arg modifications into unrelated URLs."

